,freq
"('궁채', '딱이다')",3
"('맛', '찾다')",3
"('담그다', '맛')",3
"('구매', '입맛')",3
"('가끔', '먹다')",3
"('맛있다', '씹히다')",3
"('맛', '씹히다')",3
"('식감', '입맛')",3
"('구매', '번')",3
"('많다', '맛')",3
"('배송', '식감')",3
"('좋다', '집')",3
"('많다', '식감')",3
"('리뷰', '맛있다')",3
"('간도', '식감')",3
"('먹다', '봣')",3
"('먹다', '정도')",3
"('맛', '모르다')",3
"('먹다', '병')",3
"('먹다', '부모님')",3
"('남다', '먹다')",3
"('좋다', '최고')",3
"('자다', '진짜')",3
"('나물', '맛있다')",3
"('먹다', '어울리다')",3
"('자다', '항상')",3
"('짜지다', '통')",3
"('사다', '통')",3
"('넉넉하다', '맛있다')",3
"('밥', '좋아하다')",3
"('버리다', '장아찌')",3
"('고기', '궁채')",3
"('개', '구매')",3
"('입맛', '짜다')",3
"('밥', '짜다')",3
"('버리다', '좋다')",3
"('맛있다', '싶다')",3
"('놓다', '좋다')",3
"('딸', '좋아하다')",3
"('두번째', '좋아하다')",3
"('감칠맛', '좋다')",3
"('계속', '맛')",3
"('검색', '맛있다')",3
"('딱이다', '맛있다')",3
"('만족스럽다', '식감')",3
"('간장', '식감')",3
"('곳', '먹다')",3
"('먹다', '알다')",3
"('맞다', '식감')",3
"('없다', '포장')",3
"('좋다', '후기')",3
"('먹다', '저번')",3
"('계속', '주문')",3
"('미리', '밑반찬')",3
"('만족스럽다', '보다')",3
"('궁채', '의사')",3
"('개', '맛있다')",3
"('밑반찬', '좋다')",3
"('맛있다', '지다')",3
"('먹다', '지다')",3
"('먹다', '진짜진짜')",3
"('병', '장아찌')",3
"('나물', '먹다')",3
"('드리다', '부모님')",3
"('넣다', '보다')",3
"('간장', '맛있다')",3
"('맛있다', '짱아찌')",3
"('맛있다', '병')",3
"('번창', '자주')",3
"('맛있다', '청양고추')",3
"('나물', '장아찌')",3
"('나물', '보다')",3
"('괜찮다', '장아찌')",3
"('괜찮다', '보다')",3
"('먹다', '양도')",3
"('가족', '좋아하다')",3
"('보다', '청양고추')",3
"('장아찌', '통')",3
"('고깃집', '보고')",3
"('부모님', '싶다')",3
"('맛', '사다')",3
"('류', '장아찌')",3
"('괜찮다', '식감')",3
"('먹다', '아끼다')",3
"('먹다', '예정')",3
"('재주', '한번')",3
"('자주', '주문')",3
"('주문', '후기')",3
"('맞다', '먹다')",3
"('아주', '포장')",3
"('아주', '자다')",3
"('싶다', '주문')",3
"('남다', '장아찌')",3
"('배송', '보다')",3
"('밥', '식감')",3
"('꼼꼼하다', '좋다')",3
"('먹다', '콤달콤')",3
"('자다', '재주')",3
