,reviews,ratings,days,options,buyer_categorys,유통기한,포장,맛 만족도
412,이 식감을 너무 좋아해서 계속 찾고 먹게 되네요~맛도 맛있어요~다른 곳은 오래된 묵은맛이 나던데...여긴 전혀 그렇지않고 맛있네요~,5,2023.11.08.,유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,,꽤 남았어요,꼼꼼해요,맛있어요
413,아삭아삭 고기 먹을때 딱이네요 맛있게 잘 먹을게요....,5,2023.11.07.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
414,한정식집에서 먹었는데 너무 맛있어서 폭풍검색끝에 주문했어요 맛있게 잘 먹을께요~,5,2023.11.07.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
415,너무 맛있어요  다 먹고 재구매도 했어요,5,2023.11.07.,구매자거주인원 2인신혼/부부유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 2인신혼/부부,꽤 남았어요,꼼꼼해요,맛있어요
416,이번 구매한게 짜지도 않고 싱싱하고 맛있어용,5,2023.11.07.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
417,아이가 목이 장아찌는 좋아해요~,4,2023.11.07.,맛 만족도평범해요유통기한아주 넉넉해요포장꼼꼼해요,,평범해요,아주 넉넉해요,꼼꼼해요
418,"궁채특유의 단단하면서 아삭한 식감이 살아있어, 밥반찬으로 좋네요. 김밥에 넣고 싸니 아주 별미예요.",5,2023.11.06.,유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,,꽤 남았어요,꼼꼼해요,맛있어요
419,빠른배송과 제품이 맛있고 식감이 좋네요.,5,2023.11.06.,구매자거주인원 4인대가족유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 4인대가족,아주 넉넉해요,꼼꼼해요,맛있어요
420,처음먹었는데아삭아삭 짜지도않고 맛있어요,5,2023.11.06.,구매자거주인원 3인유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 3인,아주 넉넉해요,꼼꼼해요,맛있어요
421,자주 먹고 있습니다,5,2023.11.05.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
422,맛있어서 또 주문했어요.,5,2023.11.05.,유통기한꽤 남았어요포장적당해요맛 만족도맛있어요,,꽤 남았어요,적당해요,맛있어요
423,가성비좋아여 재구매의사있어요,5,2023.11.05.,유통기한꽤 남았어요포장적당해요맛 만족도맛있어요,,꽤 남았어요,적당해요,맛있어요
424,포장상태 괜찮네요~ 엄마가 아프셔서 아직 잘 드시진 못한대요,3,2023.11.04.,맛 만족도평범해요유통기한꽤 남았어요포장적당해요,,평범해요,꽤 남았어요,적당해요
425,"갓 만든거 보내주셨네요ㅎ
맛있게 잘 먹을게요~",5,2023.11.04.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
426,고기랑 먹으면 진짜 맛있습니다. 입가심하기 좋아요.,5,2023.11.04.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
427,"남자친구도보내주고 우리집도 시켜먹고
간만에 생각나서 먹었는데 맛있네요",5,2023.11.04.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
428,남자친구한테도 보냈는데 맛있다고 바로 라면끓여먹네요,5,2023.11.04.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
429,새콤한맛이 조금 강해서.. 살짝만 약하면 나이드신 분들도 충분히 먹을수 있을것 같아요. 대신에 10대딸은 맛있다고 했어요~,4,2023.11.04.,유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,,꽤 남았어요,꼼꼼해요,맛있어요
430,남편도 맛있다고 칭찬하네요~ 친정에도 보내드렸어요~ 감사합니다~,5,2023.11.04.,구매자거주인원 4인취학자녀 가정유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 4인취학자녀 가정,아주 넉넉해요,꼼꼼해요,맛있어요
431,아삭하고 맛있어요~ 밑반찬으로 잘 먹을께요~,5,2023.11.04.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
432,,5,2023.11.03.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
433,맛있어요 집안 반찬이라 구매했는데 잘 먹고 있어요~,5,2023.11.03.,유통기한꽤 남았어요포장적당해요맛 만족도맛있어요,,꽤 남았어요,적당해요,맛있어요
434,너무너무 좋앙요. 자주 구매할께요,5,2023.11.03.,구매자거주인원 4인취학자녀 가정유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 4인취학자녀 가정,아주 넉넉해요,꼼꼼해요,맛있어요
435,왜 인기가 많은지 알겠어요. 아삭아삭 식감 좋고 고기랑 먹거나 입맛 없을 때 먹으면 좋아요.,5,2023.11.03.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
436,"배송도 빠르고 진짜진짜  맛있어용^^
잘 먹을께용^^",5,2023.11.03.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
437,아직한통남았는데 맛있습니다.,5,2023.11.03.,구매자거주인원 2인신혼/부부유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 2인신혼/부부,아주 넉넉해요,꼼꼼해요,맛있어요
438,요번에 궁채 짱아찌가 좀맛이 다른거 같긴한데 머듬 짱아찌는 엄청 맛있게 먹었어요 ㅎ,5,2023.11.02.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
439,떨어지지 않토록  자주 주문해요..,5,2023.11.02.,구매자거주인원 4인취학자녀 가정유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 4인취학자녀 가정,아주 넉넉해요,꼼꼼해요,맛있어요
440,맛은있는데 자주는아니고 가끔먹어오,4,2023.11.02.,맛 만족도평범해요유통기한꽤 남았어요포장적당해요,,평범해요,꽤 남았어요,적당해요
441,포장이 꼼꼼하고 맛있어요!,5,2023.11.01.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
442,아삭하니  맛나요..다음에 재 구매할께요..,5,2023.11.01.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
443,"아삭하니  맛잇어요
갠적으론 덜새콤햇음 좋겠어요",4,2023.11.01.,유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,,꽤 남았어요,꼼꼼해요,맛있어요
444,너무 맛있어요~~~~~~~~~,5,2023.11.01.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
445,항상 만족하는 상품입니다 앞으로도 꾸준히 먹으려구요,5,2023.10.31.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
446,"궁채 좋아하는데 담가서 먹어보려다가
손이 많이 간다길래 ㅋㅋ 그냥 샀어요 ㅋㅋ
사길 잘한것같아요 ㅋ 오독오독 넘 맛있어요 !
매콤하게 먹고싶어서 청양고추 두어개 잘라두었다가 며칠뒤에 먹었는데 매운맛이 우러나서 개인적으로 더 좋네요 ㅋㅋ",5,2023.10.31.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
447,오독오독 식감이 정말좋아요,5,2023.10.29.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
448,궁채장아찌 너무 맛있어영 최고에요,5,2023.10.29.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
449,짜지 않고 맛나요~,4,2023.10.29.,유통기한꽤 남았어요포장적당해요맛 만족도맛있어요,,꽤 남았어요,적당해요,맛있어요
450,"얼음팩1개 넣어주셨는데 여름도 아닌데
다 녹아서 터져 있어요. 개봉하니 안이 엉망이네요. 다행히 제품은 밀봉이 되어 괜찮은데 비닐에 한번 넣어서 배송해 주심 좋을것 같아요. 꺼내면서 찜찜했어요.",3,2023.10.29.,맛 만족도평범해요유통기한꽤 남았어요포장별로예요,,평범해요,꽤 남았어요,별로예요
451,맛있는데 저한테는 조금 간이 짜내요,4,2023.10.27.,구매자거주인원 4인취학자녀 가정맛 만족도평범해요유통기한아주 넉넉해요포장꼼꼼해요,구매자거주인원 4인취학자녀 가정,평범해요,아주 넉넉해요,꼼꼼해요
452,자주 시키는 반찬이에요 아버지가 맛있게 드시네요,5,2023.10.27.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
453,두번째 시켜먹어요 맛있어요,5,2023.10.27.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
